Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,Not Graduate,No,5405,185,0.91,300,0,Rural,1
Male,Yes,Not Graduate,No,4810,0,0.96,360,0,Rural,0
Male,No,Graduate,No,2340,2703,0.68,360,0,Semiurban,1
Female,Yes,Not Graduate,Yes,1440,2266,1.0,300,1,Rural,0
Male,No,Graduate,No,1000,2859,0.99,300,0,Semiurban,1
Female,No,Graduate,No,2524,1481,0.83,360,0,Semiurban,0
Female,No,Graduate,Yes,2257,1146,0.87,360,1,Semiurban,0
Female,No,Graduate,No,1000,890,0.66,180,1,Urban,0
Female,No,Graduate,No,2816,1055,0.96,180,0,Semiurban,0
Male,Yes,Not Graduate,No,4354,0,1.39,300,0,Rural,0
Male,Yes,Graduate,Yes,5350,835,1.72,180,0,Semiurban,0
Female,No,Graduate,No,3361,186,0.99,360,1,Semiurban,1
Male,No,Graduate,No,1810,2318,0.63,300,0,Semiurban,1
Female,No,Graduate,No,1439,77,0.85,360,0,Semiurban,0
Female,No,Graduate,No,3251,1109,0.85,300,0,Urban,1
Female,Yes,Not Graduate,Yes,3088,1782,1.25,360,1,Rural,1
Male,Yes,Graduate,No,4771,0,1.42,300,1,Urban,0
Female,Yes,Not Graduate,Yes,2230,1193,1.13,360,1,Rural,0
Male,Yes,Graduate,No,5586,48,1.41,180,1,Urban,0
Female,No,Graduate,No,2475,80,1.12,180,0,Semiurban,1
Male,Yes,Graduate,No,4764,374,1.32,300,0,Urban,0
Male,Yes,Graduate,No,5743,410,1.62,360,1,Urban,0
Male,No,Graduate,No,4288,1178,0.59,300,0,Semiurban,1
Male,Yes,Graduate,Yes,5875,0,1.39,300,1,Semiurban,1
Male,Yes,Graduate,No,5371,103,1.57,360,0,Urban,1
Female,No,Graduate,No,1395,1600,1.14,180,1,Urban,0
Male,Yes,Graduate,No,4284,24,1.65,180,0,Urban,1
Female,No,Graduate,Yes,4322,1227,1.04,300,0,Semiurban,0
Male,Yes,Graduate,No,5614,1304,1.63,360,0,Urban,0
Male,No,Graduate,No,2077,1079,0.5,360,1,Semiurban,0
Female,No,Graduate,No,2313,1532,1.39,300,1,Semiurban,0
